Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart/add/anonymous-125/UHJ/1,1,0,246.80077200000028,246.80077200000028,246.80077200000028,246.80077200000028,138.0,0.0033498200981882187,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-126/RED/1,1,0,183.99162299999716,183.99162299999716,183.99162299999716,183.99162299999716,132.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-126/RMC/1,1,0,182.43735099997593,182.43735099997593,182.43735099997593,182.43735099997593,210.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-127/EMM/1,1,0,178.28348399999072,178.28348399999072,178.28348399999072,178.28348399999072,214.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-127/UHJ/1,1,0,186.17849400001774,186.17849400001774,186.17849400001774,186.17849400001774,138.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-128/HPTD/1,1,0,178.30362800000898,178.30362800000898,178.30362800000898,178.30362800000898,121.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-128/UHJ/1,1,0,181.12090900001476,181.12090900001476,181.12090900001476,181.12090900001476,226.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-129/SHCE/1,1,0,184.48440299999902,184.48440299999902,184.48440299999902,184.48440299999902,203.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-129/STAN-1/1,1,0,185.90179099999204,185.90179099999204,185.90179099999204,185.90179099999204,111.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-13/EMM/1,1,0,180.94614700000022,180.94614700000022,180.94614700000022,180.94614700000022,137.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-13/RED/1,1,0,187.76854999999415,187.76854999999415,187.76854999999415,187.76854999999415,221.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-130/RED/1,1,0,180.59927799998832,180.59927799998832,180.59927799998832,180.59927799998832,202.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-130/Watson/1,1,0,180.16009899997698,180.16009899997698,180.16009899997698,180.16009899997698,106.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-131/RED/1,1,0,183.84353799999076,183.84353799999076,183.84353799999076,183.84353799999076,132.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-131/SHCE/1,1,0,184.93823400001475,184.93823400001475,184.93823400001475,184.93823400001475,225.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-132/HPTD/1,1,0,179.56097200001864,179.56097200001864,179.56097200001864,179.56097200001864,219.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-132/RED/1,1,0,179.2419809999899,179.2419809999899,179.2419809999899,179.2419809999899,132.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-133/SHCE/1,1,0,178.2914210000115,178.2914210000115,178.2914210000115,178.2914210000115,124.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-133/Watson/1,1,0,176.064126,176.064126,176.064126,176.064126,198.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-134/STAN-1/1,1,0,184.59638100000575,184.59638100000575,184.59638100000575,184.59638100000575,111.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-134/Watson/1,1,0,264.84518400002344,264.84518400002344,264.84518400002344,264.84518400002344,182.0,0.0033498200981882187,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/api/cart/add/anonymous-135/EPE/1,1,0,197.82349999999838,197.82349999999838,197.82349999999838,197.82349999999838,222.0,0.0033498200981882187,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-135/SHCE/1,1,0,190.2026299999875,190.2026299999875,190.2026299999875,190.2026299999875,124.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-136/RMC/1,1,0,185.3157839999824,185.3157839999824,185.3157839999824,185.3157839999824,216.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-136/UHJ/1,1,0,177.38691599998901,177.38691599998901,177.38691599998901,177.38691599998901,138.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
